Scenario,Type,Concurrency,Iteration,Throughput_RPS,P99_ms,Success_Rate,Heap_MB,Thread_Count
PT_CPU_Heavy,CPU_BOUND,100,4,64967.13,0.34,100.00,56,224
PT_CPU_Heavy,CPU_BOUND,100,5,63536.03,0.30,100.00,56,224
PT_CPU_Heavy,CPU_BOUND,100,6,87023.11,0.14,100.00,56,224
PT_CPU_Heavy,CPU_BOUND,100,7,66151.57,0.38,100.00,56,224
PT_CPU_Heavy,CPU_BOUND,100,8,63724.71,0.34,100.00,56,224
PT_CPU_Heavy,CPU_BOUND,100,9,65737.14,0.36,100.00,56,224
PT_CPU_Heavy,CPU_BOUND,100,10,96980.04,0.10,100.00,54,224
VT_CPU_Heavy,CPU_BOUND,100,4,67501.89,0.33,100.00,52,132
VT_CPU_Heavy,CPU_BOUND,100,5,91511.40,0.14,100.00,52,132
VT_CPU_Heavy,CPU_BOUND,100,6,80681.60,0.10,100.00,52,132
VT_CPU_Heavy,CPU_BOUND,100,7,67075.38,0.34,100.00,52,132
VT_CPU_Heavy,CPU_BOUND,100,8,72627.97,0.33,100.00,52,132
VT_CPU_Heavy,CPU_BOUND,100,9,58737.15,0.39,100.00,52,132
VT_CPU_Heavy,CPU_BOUND,100,10,61866.26,0.38,100.00,52,132
PT_IO_Wait,IO_BOUND,100,4,1460.30,82.92,100.00,64,233
PT_IO_Wait,IO_BOUND,100,5,1667.73,74.14,100.00,153,233
PT_IO_Wait,IO_BOUND,100,6,1527.75,91.01,100.00,147,233
PT_IO_Wait,IO_BOUND,100,7,1483.34,92.11,100.00,145,233
PT_IO_Wait,IO_BOUND,100,8,1497.38,85.94,100.00,145,233
PT_IO_Wait,IO_BOUND,100,9,1318.10,106.52,100.00,145,233
PT_IO_Wait,IO_BOUND,100,10,1526.40,91.47,100.00,145,233
VT_IO_Wait,IO_BOUND,100,4,3406.37,273.42,100.00,167,138
VT_IO_Wait,IO_BOUND,100,5,3083.08,304.97,100.00,167,138
VT_IO_Wait,IO_BOUND,100,6,3063.72,309.09,100.00,167,138
VT_IO_Wait,IO_BOUND,100,7,3218.96,302.24,100.00,169,138
VT_IO_Wait,IO_BOUND,100,8,3413.07,272.00,100.00,169,138
VT_IO_Wait,IO_BOUND,100,9,3395.82,280.01,100.00,169,138
VT_IO_Wait,IO_BOUND,100,10,3214.22,285.43,100.00,167,138
PT_CPU_Heavy,CPU_BOUND,500,4,89657.31,0.13,100.00,117,638
PT_CPU_Heavy,CPU_BOUND,500,5,89011.37,0.33,100.00,117,638
PT_CPU_Heavy,CPU_BOUND,500,6,88590.12,0.35,100.00,117,638
PT_CPU_Heavy,CPU_BOUND,500,7,94379.16,0.14,100.00,117,638
PT_CPU_Heavy,CPU_BOUND,500,8,89471.85,0.35,100.00,117,637
PT_CPU_Heavy,CPU_BOUND,500,9,96809.36,0.12,100.00,115,637
PT_CPU_Heavy,CPU_BOUND,500,10,89954.59,0.35,100.00,117,637
VT_CPU_Heavy,CPU_BOUND,500,4,92552.32,0.12,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,500,5,88878.30,0.35,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,500,6,88703.28,0.31,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,500,7,89049.73,0.35,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,500,8,84118.16,0.10,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,500,9,95177.73,0.11,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,500,10,88822.88,0.34,100.00,65,137
PT_IO_Wait,IO_BOUND,500,4,3808.34,293.80,100.00,83,638
PT_IO_Wait,IO_BOUND,500,5,3799.20,202.52,100.00,150,638
PT_IO_Wait,IO_BOUND,500,6,3856.27,254.02,100.00,199,638
PT_IO_Wait,IO_BOUND,500,7,3206.70,353.12,100.00,82,638
PT_IO_Wait,IO_BOUND,500,8,3647.62,230.79,100.00,150,638
PT_IO_Wait,IO_BOUND,500,9,2958.06,325.55,100.00,202,638
PT_IO_Wait,IO_BOUND,500,10,3312.73,261.59,100.00,82,638
VT_IO_Wait,IO_BOUND,500,4,2787.44,1663.57,100.00,321,138
VT_IO_Wait,IO_BOUND,500,5,2845.07,1637.50,100.00,276,138
VT_IO_Wait,IO_BOUND,500,6,2688.87,1752.57,100.00,365,138
VT_IO_Wait,IO_BOUND,500,7,2789.16,1684.28,100.00,341,138
VT_IO_Wait,IO_BOUND,500,8,2697.62,1745.78,100.00,303,138
VT_IO_Wait,IO_BOUND,500,9,2680.50,1786.12,100.00,276,138
VT_IO_Wait,IO_BOUND,500,10,2794.13,1669.75,100.00,377,138
PT_CPU_Heavy,CPU_BOUND,1000,4,94611.94,0.19,100.00,94,1138
PT_CPU_Heavy,CPU_BOUND,1000,5,97537.47,0.10,100.00,92,1137
PT_CPU_Heavy,CPU_BOUND,1000,6,94270.08,0.18,100.00,94,1137
PT_CPU_Heavy,CPU_BOUND,1000,7,94104.72,0.19,100.00,94,1137
PT_CPU_Heavy,CPU_BOUND,1000,8,81443.04,0.31,100.00,94,1137
PT_CPU_Heavy,CPU_BOUND,1000,9,93476.11,0.19,100.00,94,1137
PT_CPU_Heavy,CPU_BOUND,1000,10,97435.40,0.10,100.00,94,1137
VT_CPU_Heavy,CPU_BOUND,1000,4,89564.32,0.25,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,1000,5,91496.50,0.21,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,1000,6,95682.98,0.10,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,1000,7,93680.94,0.11,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,1000,8,95900.54,0.10,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,1000,9,93654.36,0.12,100.00,65,137
VT_CPU_Heavy,CPU_BOUND,1000,10,92025.44,0.15,100.00,65,137
PT_IO_Wait,IO_BOUND,1000,4,3109.32,794.26,100.00,88,1138
PT_IO_Wait,IO_BOUND,1000,5,3047.02,691.80,100.00,151,1138
PT_IO_Wait,IO_BOUND,1000,6,3026.28,728.48,100.00,64,1138
PT_IO_Wait,IO_BOUND,1000,7,3000.70,872.56,100.00,88,1138
PT_IO_Wait,IO_BOUND,1000,8,3096.57,613.58,100.00,66,1138
PT_IO_Wait,IO_BOUND,1000,9,3164.32,767.49,100.00,91,1137
PT_IO_Wait,IO_BOUND,1000,10,3114.03,720.52,100.00,68,1137
VT_IO_Wait,IO_BOUND,1000,4,2669.68,3353.98,100.00,314,138
VT_IO_Wait,IO_BOUND,1000,5,2696.81,3354.56,100.00,441,138
VT_IO_Wait,IO_BOUND,1000,6,2665.05,3498.19,100.00,352,138
VT_IO_Wait,IO_BOUND,1000,7,2662.20,3608.33,100.00,690,138
VT_IO_Wait,IO_BOUND,1000,8,2684.26,3378.94,100.00,602,138
VT_IO_Wait,IO_BOUND,1000,9,2674.62,3378.51,100.00,418,138
VT_IO_Wait,IO_BOUND,1000,10,2700.77,3333.33,100.00,359,138
PT_CPU_Heavy,CPU_BOUND,2000,4,87809.34,0.11,100.00,85,2137
PT_CPU_Heavy,CPU_BOUND,2000,5,83176.79,0.13,100.00,85,2137
PT_CPU_Heavy,CPU_BOUND,2000,6,91360.37,0.20,100.00,81,2137
PT_CPU_Heavy,CPU_BOUND,2000,7,89531.05,0.16,100.00,85,2137
PT_CPU_Heavy,CPU_BOUND,2000,8,91202.26,0.11,100.00,85,2137
PT_CPU_Heavy,CPU_BOUND,2000,9,89707.98,0.15,100.00,83,2137
PT_CPU_Heavy,CPU_BOUND,2000,10,92492.56,0.14,100.00,79,2137
VT_CPU_Heavy,CPU_BOUND,2000,4,88315.15,0.15,100.00,63,137
VT_CPU_Heavy,CPU_BOUND,2000,5,87156.72,0.16,100.00,63,137
VT_CPU_Heavy,CPU_BOUND,2000,6,88406.31,0.12,100.00,63,137
VT_CPU_Heavy,CPU_BOUND,2000,7,90020.18,0.16,100.00,63,137
VT_CPU_Heavy,CPU_BOUND,2000,8,90093.26,0.13,100.00,63,137
VT_CPU_Heavy,CPU_BOUND,2000,9,83677.70,0.23,100.00,63,137
VT_CPU_Heavy,CPU_BOUND,2000,10,89496.51,0.12,100.00,63,137
PT_IO_Wait,IO_BOUND,2000,4,3042.76,1456.04,100.00,242,2138
PT_IO_Wait,IO_BOUND,2000,5,3055.57,1870.51,100.00,218,2137
PT_IO_Wait,IO_BOUND,2000,6,3039.06,1831.93,100.00,155,2137
PT_IO_Wait,IO_BOUND,2000,7,2797.70,2000.66,100.00,150,2137
PT_IO_Wait,IO_BOUND,2000,8,2852.00,2124.72,100.00,63,2137
PT_IO_Wait,IO_BOUND,2000,9,3119.47,1284.53,100.00,301,2136
PT_IO_Wait,IO_BOUND,2000,10,3068.28,1341.19,100.00,259,2136
VT_IO_Wait,IO_BOUND,2000,4,2618.70,6779.06,100.00,730,137
VT_IO_Wait,IO_BOUND,2000,5,2272.21,8014.40,100.00,667,137
VT_IO_Wait,IO_BOUND,2000,6,2600.88,6697.96,100.00,676,137
VT_IO_Wait,IO_BOUND,2000,7,2617.76,6759.05,100.00,630,137
VT_IO_Wait,IO_BOUND,2000,8,2636.35,6861.95,100.00,772,137
VT_IO_Wait,IO_BOUND,2000,9,2613.83,6858.45,100.00,797,137
VT_IO_Wait,IO_BOUND,2000,10,2595.99,6800.51,100.00,572,137
PT_CPU_Heavy,CPU_BOUND,4000,4,84520.33,0.21,100.00,93,4137
PT_CPU_Heavy,CPU_BOUND,4000,5,88268.48,0.31,100.00,85,4137
PT_CPU_Heavy,CPU_BOUND,4000,6,88411.70,0.18,100.00,95,4137
PT_CPU_Heavy,CPU_BOUND,4000,7,88305.11,0.18,100.00,95,4137
PT_CPU_Heavy,CPU_BOUND,4000,8,88527.19,0.16,100.00,95,4137
PT_CPU_Heavy,CPU_BOUND,4000,9,89069.40,0.16,100.00,95,4137
PT_CPU_Heavy,CPU_BOUND,4000,10,86061.19,0.15,100.00,95,4137
VT_CPU_Heavy,CPU_BOUND,4000,4,85808.72,0.13,100.00,73,137
VT_CPU_Heavy,CPU_BOUND,4000,5,85014.35,0.13,100.00,71,137
VT_CPU_Heavy,CPU_BOUND,4000,6,85468.72,0.13,100.00,71,137
VT_CPU_Heavy,CPU_BOUND,4000,7,85846.95,0.12,100.00,71,137
VT_CPU_Heavy,CPU_BOUND,4000,8,84894.98,0.14,100.00,71,137
VT_CPU_Heavy,CPU_BOUND,4000,9,68943.81,0.16,100.00,73,137
VT_CPU_Heavy,CPU_BOUND,4000,10,84789.54,0.13,100.00,71,137
PT_IO_Wait,IO_BOUND,4000,4,2987.56,3885.71,100.00,201,4136
PT_IO_Wait,IO_BOUND,4000,5,2899.11,3988.81,100.00,197,4135
PT_IO_Wait,IO_BOUND,4000,6,2981.03,3937.85,100.00,309,4135
PT_IO_Wait,IO_BOUND,4000,7,2973.19,3902.40,100.00,508,4135
PT_IO_Wait,IO_BOUND,4000,8,2920.30,4035.53,100.00,372,4135
PT_IO_Wait,IO_BOUND,4000,9,2876.99,3940.48,100.00,376,4134
PT_IO_Wait,IO_BOUND,4000,10,2836.23,4115.38,100.00,232,4134
VT_IO_Wait,IO_BOUND,4000,4,2576.71,13705.01,100.00,1369,136
VT_IO_Wait,IO_BOUND,4000,5,2598.45,13546.97,100.00,861,136
VT_IO_Wait,IO_BOUND,4000,6,2551.97,13861.21,100.00,912,136
VT_IO_Wait,IO_BOUND,4000,7,2540.08,13761.22,100.00,1248,136
VT_IO_Wait,IO_BOUND,4000,8,2447.31,14351.91,100.00,1184,136
VT_IO_Wait,IO_BOUND,4000,9,2137.64,16942.62,100.00,1000,137
VT_IO_Wait,IO_BOUND,4000,10,2430.84,14712.07,100.00,1110,137
PT_CPU_Heavy,CPU_BOUND,8000,4,72619.87,0.18,100.00,103,8137
PT_CPU_Heavy,CPU_BOUND,8000,5,72215.68,0.19,100.00,103,8137
PT_CPU_Heavy,CPU_BOUND,8000,6,71334.14,0.20,100.00,105,8137
PT_CPU_Heavy,CPU_BOUND,8000,7,72621.31,0.16,100.00,105,8137
PT_CPU_Heavy,CPU_BOUND,8000,8,68340.25,0.20,100.00,105,8137
PT_CPU_Heavy,CPU_BOUND,8000,9,69281.04,0.18,100.00,103,8137
PT_CPU_Heavy,CPU_BOUND,8000,10,69136.57,0.19,100.00,107,8137
VT_CPU_Heavy,CPU_BOUND,8000,4,74516.54,0.14,100.00,89,137
VT_CPU_Heavy,CPU_BOUND,8000,5,74807.18,0.15,100.00,89,137
VT_CPU_Heavy,CPU_BOUND,8000,6,75447.75,0.14,100.00,89,137
VT_CPU_Heavy,CPU_BOUND,8000,7,75216.24,0.15,100.00,91,137
VT_CPU_Heavy,CPU_BOUND,8000,8,74013.27,0.16,100.00,89,137
VT_CPU_Heavy,CPU_BOUND,8000,9,74443.33,0.15,100.00,91,137
VT_CPU_Heavy,CPU_BOUND,8000,10,75357.70,0.14,100.00,91,137
PT_IO_Wait,IO_BOUND,8000,4,2888.26,8142.15,100.00,631,8134
PT_IO_Wait,IO_BOUND,8000,5,2728.75,8579.64,100.00,808,8133
PT_IO_Wait,IO_BOUND,8000,6,2772.44,8354.99,100.00,455,8132
PT_IO_Wait,IO_BOUND,8000,7,2742.95,7894.12,100.00,879,8131
PT_IO_Wait,IO_BOUND,8000,8,2893.06,8157.95,100.00,549,8130
PT_IO_Wait,IO_BOUND,8000,9,2910.32,7963.95,100.00,636,8129
PT_IO_Wait,IO_BOUND,8000,10,2940.33,7878.71,100.00,826,8129
VT_IO_Wait,IO_BOUND,8000,4,1980.51,36405.24,100.00,1263,136
VT_IO_Wait,IO_BOUND,8000,5,2582.19,27527.58,100.00,1501,136
VT_IO_Wait,IO_BOUND,8000,6,2590.59,27591.53,100.00,1933,136
VT_IO_Wait,IO_BOUND,8000,7,2504.53,28379.87,100.00,1358,136
VT_IO_Wait,IO_BOUND,8000,8,2474.70,28690.13,100.00,1470,136
VT_IO_Wait,IO_BOUND,8000,9,2419.93,29337.38,100.00,2243,136
VT_IO_Wait,IO_BOUND,8000,10,2464.01,28856.34,100.00,1515,136
